MEET,NAME,FX,PH,SR,VT,PB,HB,AA,TEAM,ROUND,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
usa_ot1,Khoi Young,13.5,11.65,13,14.95,14.4,12.1,79.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Kai Uemura,13.05,13.25,12.85,13.55,11.75,13.2,77.65,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Kiran Mandava,12.7,12,12.8,13.9,13.5,11.9,76.8,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Tate Costa,12.25,12.65,11.45,13.4,13.2,13.15,76.1,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Curran Phillips,12.2,NA,NA,14.4,15.6,12.4,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Joshua Karnes,NA,13.1,NA,NA,14.4,13.15,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Alex Diab,NA,NA,14.6,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Stephen Nedoroscik,NA,14.45,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot1,Patrick Hoopes,NA,14.45,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Fred Richard,14,13.6,13.85,14.2,14.8,14.45,84.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Brody Malone,14.35,13.95,14.3,14.7,14.75,13.15,85.2,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Shane Wiskus,14.6,13.7,14.15,14.5,14.5,13.9,85.35,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Paul Juda,14.25,14.25,13.85,14.7,13.85,13.8,84.7,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Asher Hong,14.15,11.75,14.7,15.25,14.9,13.2,83.95,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Fuzzy Benas,14.1,13.7,13.65,13.9,13.85,13.7,82.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Donnell Whittenburg,14.85,13.05,14.6,14.9,14.2,13.15,84.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Cameron Bock,13.65,13.9,13.7,12.95,14.2,13.75,82.15,USA,NA,NA,NA,NA,NA,NA,NA
