team,names,total
V4035,NA,256
V4571,NA,256
V1011,NA,255.99583333333337
V1521,NA,255.99583333333337
V3991,NA,255.99583333333337
V404,NA,255.9875
V408,NA,255.9875
V890,NA,255.9875
V952,NA,255.9875
V1043,NA,255.9875
V1435,NA,255.98333333333335
V2151,NA,255.975
V346,NA,255.975
V351,NA,255.975
V355,NA,255.975
V847,NA,255.975
V974,NA,255.975
V2940,NA,255.97083333333333
V4660,NA,255.97083333333333
V1997,NA,255.9625
V2910,NA,255.9625
V365,NA,255.9625
V3993,NA,255.9625
V4073,NA,255.9625
V4125,NA,255.9625
V4266,NA,255.9625
V651,NA,255.9625
V3903,NA,255.95833333333337
V1152,NA,255.95
V303,NA,255.95
V324,NA,255.95
V437,NA,255.95
V442,NA,255.95
V446,NA,255.95
V1645,NA,255.94583333333333
V889,NA,255.94583333333333
V1502,NA,255.9375
V1694,NA,255.9375
V1717,NA,255.9375
V181,NA,255.9375
V184,NA,255.9375
V185,NA,255.9375
V186,NA,255.9375
V2263,NA,255.9375
V379,NA,255.9375
V3930,NA,255.9375
V4163,NA,255.9375
V4225,NA,255.9375
V4632,NA,255.9375
V835,NA,255.9375
V932,NA,255.9375
V1075,NA,255.93333333333337
V4750,NA,255.93333333333337
V4800,NA,255.93333333333337
V1570,NA,255.925
V2968,NA,255.925
V4011,NA,255.925
V647,NA,255.925
V2625,NA,255.92083333333335
V1508,NA,255.92083333333332
V4866,NA,255.92083333333332
V961,NA,255.92083333333332
V1908,NA,255.9125
V833,NA,255.9125
V1164,NA,255.9125
V1189,NA,255.9125
V1604,NA,255.9125
V1766,NA,255.9125
V296,NA,255.9125
V417,NA,255.9125
V418,NA,255.9125
V419,NA,255.9125
V420,NA,255.9125
V4784,NA,255.9125
V82,NA,255.9125
V84,NA,255.9125
V85,NA,255.9125
V86,NA,255.9125
V87,NA,255.9125
V604,NA,255.90833333333333
V973,NA,255.90833333333333
V1147,NA,255.9
V1808,NA,255.9
V2069,NA,255.9
V2626,NA,255.9
V603,NA,255.9
V4724,NA,255.9
V1163,NA,255.89583333333331
V3950,NA,255.8875
V1037,NA,255.8875
V1749,NA,255.8875
V3922,NA,255.8875
V4201,NA,255.8875
V4496,NA,255.8875
V466,NA,255.8875
V4673,NA,255.8875
V468,NA,255.8875
V469,NA,255.8875
V470,NA,255.8875
V471,NA,255.8875
V5621,NA,255.8875
V356,NA,255.88333333333333
V414,NA,255.88333333333333
V1497,NA,255.875
V1715,NA,255.875
V696,NA,255.875
V1052,NA,255.87083333333337
V4124,NA,255.87083333333337
V7209,NA,255.87083333333337
V1128,NA,255.8625
V2534,NA,255.8625
V339,NA,255.8625
V4867,NA,255.8625
V703,NA,255.8625
V849,NA,255.8625
V851,NA,255.8625
V852,NA,255.8625
V853,NA,255.8625
V854,NA,255.8625
V2587,NA,255.85833333333335
V1010,NA,255.85
V1101,NA,255.85
V1173,NA,255.85
V2073,NA,255.85
V3965,NA,255.85
V4034,NA,255.85
V4686,NA,255.85
V5285,NA,255.85
V821,NA,255.85
V883,NA,255.85
V4100,NA,255.84583333333333
V948,NA,255.84583333333333
V1063,NA,255.8375
V1077,NA,255.8375
V1134,NA,255.8375
V2170,NA,255.8375
V3878,NA,255.8375
V4010,NA,255.8375
V4754,NA,255.8375
